,unité urbaine,fauteuils,population unité urbaine,pers/faut
392,L'Argentière-la-Bessée,159,2355.0,14.81132075471698
393,L'Isle-Jourdain,191,9180.0,48.06282722513089
394,L'Île-d'Yeu,216,4967.0,22.99537037037037
395,La Bourboule,192,2308.0,12.020833333333334
396,La Bresse,400,24443.0,61.1075
397,La Broque,145,13413.0,92.50344827586207
398,La Chapelle-Basse-Mer,189,7030.0,37.195767195767196
399,La Charité-sur-Loire,301,5350.0,17.774086378737543
400,La Châtaigneraie,160,3947.0,24.66875
401,La Châtre,193,6870.0,35.59585492227979
402,La Clayette,193,2905.0,15.05181347150259
403,La Crèche,222,5918.0,26.65765765765766
404,La Ferrière,153,5439.0,35.549019607843135
405,La Ferté-Bernard,232,11976.0,51.62068965517241
406,La Ferté-Macé,182,5609.0,30.818681318681318
407,La Ferté-Milon,119,2236.0,18.789915966386555
408,La Ferté-Saint-Aubin,187,7598.0,40.63101604278075
409,La Flèche,426,15949.0,37.43896713615023
410,La Guerche-de-Bretagne,270,5513.0,20.418518518518518
411,La Haye-du-Puits,250,4107.0,16.428
412,La Mothe-Achard,300,5297.0,17.656666666666666
413,La Mure,508,6702.0,13.192913385826772
414,La Mézière,2475,5052.0,2.041212121212121
415,La Pommeraye,481,18489.0,38.438669438669436
416,La Roche-Chalais - Saint-Aigulin,161,5004.0,31.080745341614907
417,La Roche-sur-Yon,2308,57717.0,25.00736568457539
418,La Rochefoucauld,130,4132.0,31.784615384615385
419,La Rochelle,4576,134062.0,29.296765734265733
420,La Réole,249,7028.0,28.224899598393574
421,La Souterraine,190,5329.0,28.04736842105263
422,La Teste-de-Buch - Arcachon,2076,68820.0,33.15028901734104
423,La Tour-d'Aigues,119,4471.0,37.57142857142857
424,La Tour-du-Pin,208,22951.0,110.34134615384616
425,La Tranche-sur-Mer,266,2989.0,11.236842105263158
426,La Tremblade,259,12184.0,47.04247104247104
427,La Turballe,160,6962.0,43.5125
428,Labouheyre,236,2783.0,11.792372881355933
429,Labruguière,167,6617.0,39.622754491017965
430,Lamastre,250,2387.0,9.548
431,Lamballe,210,17216.0,81.98095238095237
432,Lambesc,137,10072.0,73.51824817518248
433,Lamotte-Beuvron,168,4749.0,28.267857142857142
434,Landerneau,470,18579.0,39.52978723404255
435,Landivisiau,394,11558.0,29.33502538071066
436,Langeais,189,4626.0,24.476190476190474
437,Langogne,191,3459.0,18.10994764397906
438,Langon,1458,14027.0,9.62071330589849
439,Langres,344,9696.0,28.186046511627907
440,Lannion,1265,51209.0,40.48142292490119
441,Laon,790,28904.0,36.5873417721519
442,Laragne-Montéglin,162,3952.0,24.395061728395063
443,Laval,1844,70554.0,38.26138828633405
444,Lavelanet,480,7237.0,15.077083333333333
445,Le Blanc,253,6541.0,25.85375494071146
446,Le Boulou,330,5452.0,16.52121212121212
447,Le Bourg-d'Oisans,256,3369.0,13.16015625
448,Le Cateau-Cambrésis,178,7380.0,41.46067415730337
449,Le Cheylard,159,4047.0,25.452830188679247
450,Le Creusot,411,33089.0,80.50851581508516
451,Le Faouët,192,2848.0,14.833333333333334
452,Le Grand-Bornand,349,2166.0,6.206303724928366
453,Le Grau-du-Roi,425,17390.0,40.917647058823526
454,Le Havre,4188,237880.0,56.80038204393505
455,Le Luc,100,15460.0,154.6
456,Le Lude,425,4238.0,9.971764705882354
457,Le Mans,6254,214723.0,34.333706427886156
458,Le Neubourg,405,5604.0,13.837037037037037
459,Le Palais,234,2606.0,11.136752136752136
460,Le Pont-de-Beauvoisin,189,16792.0,88.84656084656085
461,Le Puy-en-Velay,1151,40123.0,34.85925282363162
462,Le Theil,221,3601.0,16.294117647058822
463,Le Thillot,332,15523.0,46.756024096385545
464,Le Vigan,158,7267.0,45.99367088607595
465,Lectoure,174,4020.0,23.103448275862068
466,Legé,263,4642.0,17.65019011406844
467,Lencloître,289,2497.0,8.640138408304498
468,Les Andelys,407,8478.0,20.83046683046683
469,Les Herbiers,771,16616.0,21.55123216601816
470,Les Sables-d'Olonne,1413,45773.0,32.39419674451521
471,Les Vans,316,3651.0,11.55379746835443
472,Lesneven,340,13406.0,39.42941176470588
473,Lesparre-Médoc,212,8278.0,39.04716981132076
474,Levens,210,4772.0,22.723809523809525
475,Libourne,1367,36542.0,26.731528895391367
476,Liffré,300,7902.0,26.34
477,Lille (partie française),19013,1056396.0,55.56177352337874
478,Lillebonne,1034,22350.0,21.615087040618956
479,Limoges,5403,184993.0,34.23894132889136
480,Limoux,350,13429.0,38.36857142857143
481,Lisieux,1072,28875.0,26.93563432835821
482,Livron-sur-Drôme,124,16643.0,134.21774193548387
483,Loches,503,10815.0,21.50099403578529
484,Locminé,228,8533.0,37.425438596491226
485,Lodève,270,10188.0,37.733333333333334
486,Longwy (partie française),1330,47875.0,35.99624060150376
487,Lons-le-Saunier,1696,28037.0,16.53125
488,Lorgues,120,11124.0,92.7
489,Lorient,4333,118018.0,27.237018232171707
490,Loudun,151,7092.0,46.966887417218544
491,Loudéac,409,9985.0,24.413202933985332
492,Louhans,469,12210.0,26.03411513859275
493,Lourdes,1509,16754.0,11.102717031146454
494,Louviers,803,45038.0,56.08717310087173
495,Ludres,2996,8486.0,2.8324432576769025
496,Lunel,375,52616.0,140.30933333333334
497,Lunéville,551,22107.0,40.12159709618875
498,Lure,352,11265.0,32.00284090909091
499,Luxeuil-les-Bains,490,12544.0,25.6
500,Luçon,766,9962.0,13.005221932114882
501,Lyon,33475,1696765.0,50.687528005974606
502,Lézignan-Corbières,199,11449.0,57.53266331658291
503,Machecoul,327,7788.0,23.81651376146789
504,Malestroit,234,3675.0,15.705128205128204
505,Mamers,271,5914.0,21.822878228782287
506,Manosque,1432,31885.0,22.266061452513966
507,Marcigny,175,2933.0,16.76
508,Marennes,206,9939.0,48.24757281553398
509,Marmande,513,30098.0,58.67056530214425
510,Marseille - Aix-en-Provence,26063,1619129.0,62.12366189617465
511,Marvejols,177,6196.0,35.005649717514125
512,Matha,154,2241.0,14.551948051948052
513,Maubeuge (partie française),2884,112104.0,38.87101248266297
514,Maule,102,10574.0,103.66666666666667
515,Mauléon,269,8758.0,32.55762081784387
516,Mauléon-Licharre,416,6805.0,16.358173076923077
517,Mauriac,256,4624.0,18.0625
518,Mayenne,374,15741.0,42.088235294117645
519,Mazamet,485,25381.0,52.3319587628866
520,Mazères,182,3958.0,21.747252747252748
521,Maîche,320,4383.0,13.696875
522,Melle,434,6529.0,15.043778801843319
523,Mende,402,13049.0,32.460199004975124
524,Menton - Monaco (partie française),377,71481.0,189.604774535809
525,Merdrignac,142,3151.0,22.190140845070424
526,Metz,8920,290177.0,32.53105381165919
527,Meung-sur-Loire,143,9705.0,67.86713286713287
528,Meximieux,166,10714.0,64.5421686746988
529,Meymac,244,2524.0,10.344262295081966
530,Migennes,231,12279.0,53.15584415584416
531,Millau,552,24308.0,44.03623188405797
532,Mimizan,450,7301.0,16.224444444444444
533,Mirande,250,4251.0,17.004
534,Mirecourt,332,7620.0,22.951807228915662
535,Mirepoix,106,3262.0,30.77358490566038
536,Missillac,150,5435.0,36.233333333333334
537,Modane,394,3904.0,9.908629441624365
538,Moirans-en-Montagne,330,2225.0,6.742424242424242
539,Molsheim,2517,27391.0,10.882399682161303
540,Moncoutant,295,5222.0,17.701694915254237
541,Monistrol-sur-Loire,348,13732.0,39.45977011494253
542,Monnaie,300,4524.0,15.08
